 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
1277,21,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,285714.2857,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,47619.04762,47619.04762,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
53,31059,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,9272.674587,128.787147,10353.0,17924.99381,31051,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,40,40,64.39357352,64.39357352,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,40,2,84,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
48650,2,2,0,1983,0,1983,0,991.5,1402.192747,0,0,0.0,0.0,992000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,1,0,64,0,1000000.0,0.0,0,1983,1322.0,1144.885584,1310763.0,0,1,0,0,1,0,0,0,0,1983.0,991.5,0.0,64,2,1983,0,0,235,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
22,46,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,21739.13043,21739.13043,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
443,60964721,14,14,822,3537,440,0,58.71428571,124.0312793,1490,0,252.6428571,533.8384381,71.50036822,0.459282017,2257952.63,4218230.989,10000000,8,61000000,4689593.923,5161318.222,10100000,239,60900000,4685685.769,5172984.328,10100000,228,0,0,292,364,0.229641008,0.229641008,0,1490,150.3103448,386.9030982,149694.0074,0,0,0,1,0,0,0,0,1,155.6785714,58.71428571,252.6428571,292,14,822,14,3537,8192,114,13,20,71012.33333,45767.42957,164389,50242,10000000.0,817.067847,10000000,9999373,0
80,85081047,7,7,373,11595,355,0,53.28571429,133.0773137,5792,0,1656.428571,2120.732252,140.6658759,0.164548986,6544695.923,23300000.0,84000000,46,85000000,14200000.0,34200000.0,84000000,976,85100000,14200000.0,34700000.0,85000000,46,0,0,204,232,0.082274493,0.082274493,0,5792,798.2666667,1620.384543,2625646.067,1,0,0,0,0,0,0,0,1,855.2857143,53.28571429,1656.428571,204,7,373,7,11595,0,235,3,20,9979.0,0.0,9979,9979,84000000.0,0.0,84000000,84000000,1
80,97546620,8,6,370,11595,370,0,46.25,130.8147545,5792,0,1932.5,2181.008184,122.6592987,0.143521118,7503586.154,27000000.0,97500000,4,97500000,13900000.0,36900000.0,97500000,4,44445,8889.0,14403.62604,33242,13,0,0,264,200,0.082012068,0.061509051,0,5792,797.6666667,1620.937545,2627438.524,0,0,0,0,1,0,0,0,0,854.6428571,46.25,1932.5,264,8,370,6,11595,251,235,1,32,1783.0,0.0,1783,1783,97500000.0,0.0,97500000,97500000,1
48486,235,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8510.6382978724,235.0,0.0,235,235,235,235.0,0.0,235,235,0,0.0,0.0,0,0,0,0,64,0,8510.6382978724,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,118,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
