 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
53,62371,4,4,124,508,31,31,31.0,0.0,127,127,127.0,0.0,10132.91434,128.2647384,8910.142857,19995.32957,53692,3,62173,20724.33333,35890.40213,62167,3,8676,2892.0,4964.970191,8625,4,0,0,80,80,64.13236921,64.13236921,31,127,73.66666667,50.59644256,2560.0,0,0,0,0,0,0,0,0,1,82.875,31.0,127.0,80,4,124,4,508,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,169,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,946745.5621,23668.63905,56.33333333,91.51138363,162,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,40,40,11834.31953,11834.31953,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,99465904,8,5,351,11595,351,0,43.875,124.0972401,8688,0,2319.0,3774.237539,120.1014571,0.130698053,8288825.333,28700000.0,99300000,3,99300000,14200000.0,37500000.0,99300000,3,149688,37422.0,66820.30988,137304,189,0,0,264,168,0.080429571,0.050268482,0,8688,853.2857143,2382.599273,5676779.297,0,0,0,0,1,0,0,0,0,918.9230769,43.875,2319.0,264,8,351,5,11595,274,235,1,32,2004.0,0.0,2004,2004,99300000.0,0.0,99300000,99300000,1
53,5324986,8,4,332,470,44,39,41.5,2.672612419,123,112,117.5,6.350852961,150.6107246,2.253527052,484089.6364,1569251.457,5215354,2,5293489,756212.7143,1971467.666,5226938,2,5277158,1759052.667,3046724.425,5277107,3,0,0,208,104,1.502351368,0.751175684,39,123,65.07692308,36.57745558,1337.910256,0,0,0,0,0,0,0,0,0,70.5,41.5,117.5,208,8,332,4,470,-1,-1,7,20,47831.0,0.0,47831,47831,5215354.0,0.0,5215354,5215354,0
80,11145620,7,6,1150,384,575,0,164.2857143,280.571271,192,0,64.0,99.14837366,137.6325409,1.166377465,928801.6667,2861278.956,10000000,55,10900000,1809096.667,4017740.571,10000000,51225,11100000,2218890.2,4384337.146,10100000,743,0,0,232,200,0.628049404,0.538328061,0,575,109.5714286,208.8237071,43607.34066,0,0,0,1,0,0,0,0,0,118.0,164.2857143,64.0,232,7,1150,6,384,29200,79,2,32,851010.0,0.0,851010,851010,10000000.0,0.0,10000000,10000000,0
80,116077039,16,14,529,476,445,0,33.0625,109.8601952,470,0,34.0,125.4996169,8.658043043,0.258449046,4002656.517,4857962.118,9997600,14,116000000,7738469.267,4071197.148,10000000,23625,111000000,8508038.846,3680703.784,10000000,21248,0,0,332,424,0.137839491,0.120609555,0,470,32.41935484,113.5610773,12896.11828,0,0,0,1,0,0,0,0,0,33.5,33.0625,34.0,332,16,529,14,476,8192,946,15,20,75452.81818,173483.1251,598524,23000,9979552.636,59377.20603,9997600,9800524,0
54364,4,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,40,0,500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,2,12,0,0,35112,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,99148670,5,6,426,11595,414,0,85.2,183.8292686,10136,0,1932.5,4060.245892,121.242171,0.110944504,9914867.0,31300000.0,99000000,4,99000000,24800000.0,49500000.0,99000000,4,99100000,19800000.0,44300000.0,99000000,84,0,0,144,200,0.05042932,0.060515184,0,10136,1002.25,2906.931595,8450251.295,1,0,0,0,0,0,0,0,1,1093.363636,85.2,1932.5,144,5,426,6,11595,0,235,2,20,13005.0,0.0,13005,13005,99000000.0,0.0,99000000,99000000,1
49159,39,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,153846.1538,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,25641.02564,25641.02564,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,1
80,1144502,4,6,360,11595,360,0,90.0,180.0,4344,0,1932.5,1754.831473,10445.59118,8.737424662,127166.8889,329757.1431,999961,14,1020971,340323.6667,571325.8175,999961,2012,144453,28890.6,53490.75698,123196,14,0,0,144,200,3.494969865,5.242454797,0,4344,1086.818182,1579.278115,2494119.364,0,0,0,1,0,0,0,0,1,1195.5,90.0,1932.5,144,4,360,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1
